comment,date,drug,effectiveness,ease of use,satisfaction
found it difficult to fall asleep.  Went from half a dose to full dose at bedtime and it has not helped.  I seem to not be able to fall asleep being awake alllllllll night.  Any suggestions.,9/12/2018 2:01:38 AM,citalopram oral,1.0,1.0,1.0
"I am somewhat happy with the medication Citalopram HBR 20MG which I have recently been increased to 30MGs. I used to work in corrections, but now work as a security officer. However, whilst working security March 15, 2015 in an apartment complex, I was lured into the parkade due to a fire alarm where 6 men were waiting for Me. I have since suffered from night terrors, but refused to be a victim so I returned to work for 1 year, then the depression, anxiety, and suicidal thoughts came. Workers comp had Me see a PTSD Psychologist right after the attack for 2 visits, then had Me see him again. He diagnosed Me with delayed onset post traumatic stress, however WCB will only look at the physical aspects of the attack, not the psychological ones. I have now voluntarily been admitted to the psych ward due to wanting to end My life and the Psychiatrist here has put Me on Citalopram. The night terrors have not stopped at all, but I've learned a new coping method by looking for something particular in the room (like My chair) as a grounding to let Me know that I am not at work and the attack is not real. Since taking the 30 Mg of Citalopram the thoughts of ending my life have ceased greatly. Iind myself a lot happier, yet am tired more. ",7/28/2018 4:10:34 PM,citalopram oral,3.0,3.0,5.0
"I have had a little bit of anxiety most of my life, but after my mother in law passed it was full blow, my Dr put me on this and it has worked wonderful for me for years!!",7/10/2018 10:59:40 PM,citalopram oral,5.0,5.0,5.0
"i have severe social anxiety and struggle with negative automatic thoughts. Im about to go onto 6 weeks of use. i've had alot of the side effects (fatigue, interrupted sleep, nausea) but i have felt no difference in terms of my anxiety. Considering other medications",7/4/2018 6:55:48 AM,citalopram oral,1.0,1.0,1.0
"I was severely depressed due to a life event in 2003. I couldn't sleep or eat, and I essentially went ""down the rabbit hole"" and couldn't get out. I was a total wreck and had an extremely difficult time working and doing general tasks. My doctor put me on a new drug (at that time): Celexa. It wasn't long and I began sleeping well and functioning better. After 3 months, I was able to get off of them. I haven't had the need to take anti-depressants since that time. I highly recommend it... it definitely worked for me!",6/3/2018 2:31:27 PM,citalopram oral,5.0,5.0,5.0
Horrible. Messed with my stomach and gave me some of the most horrific panic attacks i have ever experienced. ,5/16/2018 1:08:45 AM,citalopram oral,1.0,1.0,1.0
After the firs intake I had  a tremendous diarrhea. After 10 days I have a bleeding(hemorrhage)in my right eye. ,5/13/2018 2:31:42 PM,citalopram oral,1.0,1.0,1.0
I’m taking it for almost a year and feel great.,3/27/2018 8:31:15 PM,citalopram oral,5.0,5.0,5.0
Since taking this medicine I have become very aggressive for no reason. I have had explosive diarrhea every morning. At night I get indigestion real bad and feel nauseated.,3/26/2018 8:39:59 PM,citalopram oral,1.0,1.0,1.0
"Week 3 of 10’s, second try with this med. Terrible non-stop nausea after pill ingestion. Also burning sensation in stomach. No noticeable improvements of my depression and anxiety. Doctor will have to prescribe different medication. ",2/5/2018 10:01:59 AM,citalopram oral,1.0,4.0,1.0
It has helped me tremendously,1/16/2018 10:57:53 PM,citalopram oral,4.0,5.0,5.0
This med has made me get more depressed then I was had some very bad side effects and made me very aggressive when taking it..........,1/11/2018 1:47:43 AM,citalopram oral,1.0,1.0,1.0
"I have taken this drug for years, my depression is so much worse, as far as it helping with anxiety! Not for me. I suffered to long an this medication...",1/4/2018 2:22:38 AM,citalopram oral,1.0,4.0,1.0
"I started taking this years ago and found it treated my depression and anxiety quiet well. I was on 40 mg. I have noticed, however, that my sex drive has decreased and I can't concentrate as well now. I'm going to be talking to my doctor about reducing  the dosage. However, when I first started it it was very effective and it made a huge difference in my life.",12/2/2017 10:28:57 PM,citalopram oral,3.0,5.0,3.0
"Other than the fact that this makes me very very sleepy, its great.",10/18/2017 12:42:00 PM,citalopram oral,5.0,5.0,3.0
"Citalopram was prescribed to me for ""irritation"".  I found myself getting easily irritated, which would create unnecessary stress, bad energy etc.  The change happened overtime.  I simply don't get irritated to the degree or frequency I used to. In fact it's pretty rare these days.  I feel grateful, positive and genuinely happy.  When I commented to my md about how I felt about Citalopram, he said ""it's like somebody hit the pause button"" just long enough to let it bounce off you.",10/9/2017 9:52:54 PM,citalopram oral,5.0,5.0,5.0
"Ive been taking this medication for a year now and it has helped me in so many ways. I take the 20mg. it took probably about two weeks before i noticed anything different. My family noticed an improvement in my mood the first week. I can wake up in the moring and not feel dread and i can control all my emotions so much better. I dont cry on a drop of a dime anymore. I actually laugh and it feels amazing. This medicine has changed my life. The only thing i get as a sideeffect is the constant yawning, but ive grown accustomed to it. Thank you citalopram.",10/4/2017 11:12:36 AM,citalopram oral,5.0,5.0,4.0
Great  Depression due to son's sudden death  ,7/13/2017 10:49:50 AM,citalopram oral,5.0,5.0,5.0
I had taken Citalopram years ago and thought it was replaced as most meds are but I have been on it for a little while(2 weeks) and I already feel better which is great because the medicine I was on made my depression worse.My depression went from a 9 to a 5 on citalopram and I never thought I would get down to a 5 again.,7/3/2017 9:16:18 PM,citalopram oral,5.0,5.0,5.0
"I have been on Citalopram for two years.  Yawning is still frequent.  But I'm please with this medication.  I get a lot less irritated and anxious since beginning this med.
I have noticed a decrease in sexual drive which I'm sure my husband is not happy about.  10 mg. was enough to put me back to feeling myself again.",4/13/2017 1:21:08 PM,citalopram oral,4.0,4.0,4.0
"well I'm 20 I have social anxiety and major depression, I had no appetite, was always sleepy, had an off feeling , couldn't really think straight , made me for depressed at times due to the fact I couldn't eat, lost almost 18 pounds due to the pill. was only on 10mg then got bumped up to 20mg. Cause a huge sex change drive as well . Wasn't as interested .",1/31/2017 8:49:02 AM,citalopram oral,3.0,3.0,2.0
"Never really thought it was depression, but maybe it was. Life was just too hard. This medication works very well, and I can usually tell if I miss a dose. Before I took this I wanted to have more intimate and sexual relations with husband. Downside is not caring if I have sex or not.",1/6/2017 11:35:28 AM,citalopram oral,5.0,5.0,5.0
"I started taking Citalpram 20mg in March 2016, and have recently had my dose increased to 30mg.

The first couple of weeks on the drug were difficult, but it was nothing I couldn't deal with. I yawned a lot, felt less inhibited, and a tiny bit dizzy.

After the side effects wore off, and making sure I took my medication everyday, I can now say I feel much better.

At first I was reluctant to take Citalopram, but I know I needed that extra bit of help. It's not a magic wand, or a wonder drug, but it has helped me to help myself.",12/12/2016 12:06:49 PM,citalopram oral,5.0,5.0,4.0
Citalopram can help in constipation.,11/18/2016 12:41:33 PM,citalopram oral,5.0,5.0,5.0
FAIR.......causes disregulation of the body temperature.,9/23/2016 6:22:26 PM,citalopram oral,3.0,4.0,3.0
"Keeps me level headed, don't experience any side effects. Haven't had a panic attack, my anxiety is nill. Only side effect I have experienced is the withdrawal when I was without for several weeks; I will never do that again!",8/7/2016 10:41:30 PM,citalopram oral,5.0,5.0,5.0
I have been on this medication for years. It was working great for me until recently.  Now im falling backwards. I think my system is used to this medication. I have become irriatable and my mood swings are worse. Having dr change my med right away,7/29/2016 7:31:22 AM,citalopram oral,3.0,3.0,2.0
This has been an excellent medicine to treat my anxiety and OCD symptoms (checking behaviors).  No side effects at all except fast heart beat / sweating episodes in the first days of taking the medicine. Some indication this medicine also helps reduce eczema -- I have found this to be the case as well. ,7/9/2016 12:29:54 PM,citalopram oral,5.0,5.0,5.0
I was prescribed this for high anxiety . Dr said you will gradually step back a notch in daily routines as very high anxiety and impulsive . I started with the 10 mg 5 months ago  1 pill daily then increase to 20 mg . Been on 20 mg for 2 month's and not feeling any different . He also Prescribed me 1 mg Ativan PRN as well. Maybe give it more time? ,7/5/2016 5:05:09 PM,citalopram oral,1.0,1.0,2.0
"I did not experience any tiredness as others have. After a year, I bumped up to 40mg (from 20). It was too much and I hated the effects (i don't remember exactly but i dropped back to 20). I wish there were a 30mg pill. I tried breaking a 20 in half and making 30's but it was never a clean cut in the pill so the daily dose was not consistently 30 and i just dropped to 20. after now two years, I feel its not working the same for me although i don't often get the rage attacks I did when off of them.",6/28/2016 7:49:09 AM,citalopram oral,4.0,4.0,4.0
"Medicine worked well. However, after taking it for several years, had a problem with an elongated q-t interval so my doctor had me stop taking it and switch to something else. My heart problem went away quickly after stopping the medication.",6/15/2016 10:18:39 AM,citalopram oral,5.0,5.0,2.0
"After Cancer treatment , and the deaths of both Parents and best friend , stopped taking citalopram for 6 months , was put on Thyroxine 100mcs  but head was still  all over the place , angry , no concentration , black thoughts moods , went back to Psychiatrist and now back on 20mgs Citalopram a day , and although it makes me more lethargic , I still function better .",5/11/2016 11:47:33 AM,citalopram oral,5.0,5.0,5.0
"Have found that I need to carefully balance the use of this medication with my need for it.  If I take too large of a dose I end of tired and unfocused.  I end up cutting the pills to a 1mg dose and at that level I can tolerate the side effects and still benefit from the drug.  Unfortunately, even at this trivial dose I have a significant sexual side effect.  At times I've stopped the drug for months and the side effect still remains, I fear it may have become permanent.  Now I need to go back on the med, but I'm hesitant because I'm so worried about this side effect.",5/5/2016 11:06:05 PM,citalopram oral,5.0,5.0,3.0
Can't stay awake always tired and doesn't seem to work for me I've had up to 40mg need to try a different tablet,4/25/2016 12:41:34 PM,citalopram oral,1.0,5.0,1.0
"i take this  med. at night with trazdone  to help me
sleep they work great",4/24/2016 12:49:31 AM,citalopram oral,5.0,5.0,5.0
I was prescribed a lower dose several years ago for depression and some panic attacks.  I had a very stressful job but I finally retired and the panic attacks came back worse than when I was working.  Went to doctor told him about my symptoms.  I would panic as soon as I got into the car to travel. He increased the dose and after about a week panic attacks went away. ,4/16/2016 9:56:35 AM,citalopram oral,5.0,5.0,5.0
cant stay awake,4/10/2016 1:46:16 AM,citalopram oral,2.0,5.0,1.0
"I took the medication for depression, it did a great job, however I was always tired. I couldn't stay awake on my job, couldn't stay awake while driving. I was just putting myself in harm by taking that medicine. The sleepiness, never went away. ",4/4/2016 12:31:39 PM,citalopram oral,3.0,5.0,3.0
"I started on this with the 10mg dosage and recently moved up to 20mg . I know this is working for me, my kids and husband say I'm not so on edge and freaking out at the smallest things and I don't feel so anxious all the time. The only drawback so far is it makes me incredibly sleepy all day. I take it at night and sleep very well throughout the night but I'm still sleepy the next day. I'm hoping this will let up over time. So far I'm happy with the outcome! ",3/31/2016 10:48:33 AM,citalopram oral,5.0,5.0,3.0
"I have been taking .15 mg. daily for 2-3 months now, and for the past week, have been getting panic attacks.  I take the medication religiously, but it's not working anymore.",3/15/2016 1:24:24 PM,citalopram oral,2.0,4.0,1.0
high blood pressure as the side effect,2/26/2016 2:59:27 AM,citalopram oral,1.0,1.0,1.0
"After at least 5 years using this drug---which i don't think ever worked!--I am attempting to quit it.  I have gone very slowly---so far about 4 months, slowly cutting down, and months to go.  It is HIGHLY ADDICTIVE.  The first time i tried to quit, i had crying jags, was screaming at people, hanging up on the phone, and driving angry---none of which was typical or my normal bahaviour. I don't think ANYONE should take it.",2/22/2016 5:25:50 PM,citalopram oral,1.0,5.0,1.0
"I have been taking this for 17 years and until the last 2 months it worked wonders for me.  Now it doesn't seem to be working at all - recently added Abilify and Buspar, hoping these will help, because something needs to help soon.  ",2/13/2016 11:05:35 PM,citalopram oral,5.0,5.0,5.0
"I started taking this in late pregnancy to help relieve my extreme anxiousness and depression. I was barely able to function. It worked at 10mg for a while, then once my baby was born, my dosage was increased to 20mg. I continued to take that dosage for about 2 years until I finally told my doctor that I don't notice a difference in my life and she then upped the dosage to 40mg. Now, I experience anxiety worse than before, along with insomnia and zero sexual interest. My husband and I have not been intimate in 6 months because of this. I see a new doctor next week and I honestly can't wait to try something different. ",1/2/2016 6:49:00 AM,citalopram oral,3.0,3.0,1.0
Started having frequent panic attacks and was showing signs of agoraphobia. Started at 2.5 mg day. Had nausea ,12/29/2015 8:46:32 PM,citalopram oral,5.0,5.0,5.0
"After trying about 10 other medications,doc put me on this for extreme stomach pain associated with Irritable Bowel Syndrome. Thank God they found something that worked. Am on 20 MG a day. Sometimes pain comes back briefly if really stressed out over something or if my daily dose gives out. Am on the generic form of this drug.",11/3/2015 10:30:13 PM,citalopram oral,5.0,5.0,4.0
I went into major depression with anxiety this along with trazadone I was able to return to a normal life.,11/1/2015 5:11:15 PM,citalopram oral,5.0,5.0,5.0
"Took this med for 5 years, decided to stop, so after tapering off over a period of 3 weeks, the effects were awful... skin tingling and itching drove me crazy, insomnia, because so irritable that after 4 mos. I started back on it.",10/29/2015 3:37:02 PM,citalopram oral,3.0,2.0,1.0
Started taking 20 mg in 1996. Up to 40 mg for 8 years. Had some really bad things happen in my life.  Went into a deep depression. Didn't seem like it was working anymore. Went to a psychiatrist who had me try over 12 different anti-depressants over 8 months. None of them worked for me. I ended up back on citalopram 60 mg which is working exceptionally well for me. It also helped me with all my anxiety. Can't say enough good things about this med. ,8/23/2015 11:30:01 PM,citalopram oral,5.0,5.0,5.0
"taken along with abilify and lamectal, it has worked well",8/11/2015 9:14:11 AM,citalopram oral,5.0,5.0,5.0
"My anxiety and ""perimenaposal"" symptoms lessened HOWEVER, I ENDED UP WITH TINNITUS!!! That is way worse than my other conditions! ",8/7/2015 8:49:15 PM,citalopram oral,3.0,4.0,4.0
"Do not hesitate to take it if prescribed. I had taken many other medications for 10 years and none of them helped me. This was has saved me and my marriage. It has made me happier and full of life. I am satisfied with it, but I had loss of concentration and some memory loss which are normal side effects for it. It was a problem for some months as I had to stop and double think everything, but now its better, much better. I am happy and my quality of life is much better.",7/30/2015 3:44:13 PM,citalopram oral,5.0,5.0,4.0
"I have panic disorder and this medication did help at first. after I spent about six or seven months on it my stomach started to bleed. Please be careful if you take anything with your citalopram. Stay away from antacids, and any pain relievers for they will increase the chance of internal bleeding exponentially. Its a good medication just not for me.  ",7/23/2015 3:46:09 PM,citalopram oral,3.0,3.0,1.0
"This medication has helped me with anxiety due to menopause.  I've been on and off with it for approx 13 years.  It is a weight neutral drug for me.  I was on Paxil and gained more than 10 lbs.  That is when my Dr. recommended Celexa.  Taken as directed, I have not experienced any side effects.",7/12/2015 4:08:33 AM,citalopram oral,4.0,5.0,5.0
"I recently had to kick my son out of the house. I could hardly bare it. I couldn't get out of bed and cried every day. I was talked into taking Celexa by my DR. After 3-4 weeks, I did stop crying and could get out of bed. But seeing a counselor helped me the most and have come to terms with my crisis event. After 2.5 months, I have stopped taking Celexa. I talked to my pharmacist and the side effects (for me) were multiple and harsh. Nausea, dizziness, diarrhea and the worst was the trembling in my hands. I thought I was getting Parkinsons! Good luck to all with finding your happiness.",6/30/2015 2:04:40 PM,citalopram oral,3.0,4.0,1.0
"Menopause really hit me hard in my late 40's. I struggled for 5 years with depression and anxiety before being prescribed this medication. It changed my life and my family's life, too. No side effects for me and no more depression. 
",6/28/2015 2:56:51 PM,citalopram oral,5.0,5.0,5.0
"This medication has changed my life. It has worked wonders for me. With any medication there are side effects. I am so anti medication and tried herbal or alternative medication. However with severe anxiety and depression this medication has helped me get back on track in life. I was very anxious about taking the medication but now I am taking it I wish I'd done it sooner. You do need to be patient to see results and also tolerate the side effects because in the long run the benefit of this medicine outweighs the minor side effects. It works for me but maybe not for everyone, however it's worth a try as doctors wouldn't prescribe something without benefiting you and making you better.",5/19/2015 1:41:32 AM,citalopram oral,5.0,5.0,3.0
taking in conjunction with abilify and and lamectal I have never felt better.  I rate this medication an A.  Hope others have the same luch,4/8/2015 11:50:01 AM,citalopram oral,5.0,5.0,5.0
"I've had a chemical imbalance my entire life and mental illness runs on both sides of my family. This is the only medication that has ever helped take the edge off of the emotional roller coaster called ""life"". I've tried other things and this has helped me relax and look at the big picture. Thank God for this medicine and the doctors who created it to help people like me. I feel normal and happy and worry less. ",3/26/2015 10:26:08 AM,citalopram oral,5.0,5.0,5.0
"Started on this just over a month ago. No more urges to end it all, much more calm, sleeping better and co-workers have noticed a great improvement in attitude. ",3/5/2015 3:15:40 PM,citalopram oral,4.0,5.0,4.0
"Citalopram just about did me in. i was short of breath just getting dressed, dizzy, diarrhea, insomnia, unsteady, headaches, shaking and many more.  Bad drug for me. ",2/16/2015 9:24:05 AM,citalopram oral,1.0,3.0,1.0
This drug gave me a new life- the one i had always felt just out of reach. And it saved my marriage.,2/10/2015 4:12:43 AM,citalopram oral,5.0,4.0,5.0
"I was experiencing severe anxiety daily, and depression for approximately 2 months before seeing the doctor. This medication worked wonders for me and the anxiety/depression was gone in 4-5 weeks.  My only concern is weight gain.  I have gained 20 pounds in the past 4 months and don't know if this is related to the use.",1/30/2015 11:17:12 AM,citalopram oral,5.0,5.0,4.0
"dr. prescribed this when health and personal problems made my life Hell. It took two weeks to work and its been wonderful so far, if Ihave to take it forever, then I will. I am my old self again, even though more  health problems popped up, I am much better able to handle them.",1/30/2015 9:05:31 AM,citalopram oral,5.0,5.0,5.0
"Celexa did not work. I never wanted to take an anti-depressant, but when I was finally forced into taking this, it didn't do anything and made it very hard to sleep at night. Insomnia and depression is not a good mix. I then switched to effexor and it works great!
My doctor told me 50% of people feel an improvement in the first drug they take.",12/16/2014 1:40:00 PM,citalopram oral,1.0,4.0,1.0
"This helps me to feel like I am able to handle things and see the bright side.  This has given me enough stability that I can handle life as it comes like a normal person.  It has given me my energy and good mood back without being too ""heavy"".  I have been on 20mg for over five years and do not feel any of the side effects.  The only side effect I had in the beginning was upset stomach.",12/15/2014 7:59:24 PM,citalopram oral,5.0,5.0,5.0
"I have been on this medication for five years now for the treatment of depression and anxiety. I absolutely love it, as it allows me to be fully myself. I would highly recommend this to anyone suffering from depression or anxiety.",12/1/2014 5:14:50 PM,citalopram oral,5.0,5.0,5.0
"I am really happy with the medication Citalopram HBR 20MG.  Nightmare and horrible dreams have stopped.  Thoughts of ending my life have ceased greatly. Find myself a lot happier, yet am tired more which I think is good because now I am sleeping at least 7 hours a night.  One side effect I cannot yet understand is a salty taste in my mouth all the time.",11/22/2014 10:19:30 AM,citalopram oral,4.0,5.0,4.0
less anxiety and more energy,11/1/2014 3:24:41 PM,citalopram oral,4.0,5.0,5.0
"Just wondering if anyone has experienced nightly nightmares while taking this drug? I was on cymbalta fir about 3 years, went off due to nightmares, now this drug has the same effect. The nightmares are not always bad, but dreaming and talking in my sleep nightly",10/27/2014 9:39:08 AM,citalopram oral,4.0,5.0,4.0
"I took this medication for over 1 year for anxiety, OCD, and suicidal thoughts/behaviour and I have to say, it did wonders for my anxiety. Unfortunately, it did very little for my OCD, and I did not notice much benifit from citalopram for OCD. It helped the suicidal tendancies a little bit, but not very much. I took 40mg once per day. Personally, I think this tablet is more for anxiety more than anything else. People with generalised anxiety disorder would probably benefit best from this tablet, but everyone is different.
The side-effects I had were increased sweating, sleepiness, increased salivation, memory problems, strange dreams, tiredness, trembling, and yawning. These side-effects lasted about 5 - 10 days, then they went, except for the strange dreams, that lasted about 4 months, which I loved. The dreams that citalopram caused me made me look forward to going to bed. To be honest, citalopram was a good tablet, just not quite strong enough.",10/16/2014 12:37:00 PM,citalopram oral,3.0,5.0,4.0
I am more tolerant of others and they are of me as well as long as I am on this medication.  I have gained ALOT of weight since starting this but I am still happier.  Started with 20mg but 40mg is what i have been on for years now and I definitely have a better outlook on life.,10/14/2014 2:44:39 PM,citalopram oral,5.0,5.0,5.0
"It took quite a while for it to work. I started at 10mg, then uped to 20mg which is what my dr recommended me at. I have had severe depression since before I hit puberty and am now 24, almost 25 (I hit puberty at around 9-10). I suffered through my entire per-adult life and well into the beginning of it. I finally took control iPad started this medication. Talking therapy didn't work. Everything I tried didn't work. Finally, after about 6-8 months on this medication (yes really) I feel fantastic. I've never been happier. I don't remember feeling this great. Its like I actually see colors again. I'm trying to stop this medication now, since I think I can finally deal without it (it's been Bout a year) and I'm having a bit of a difficult time with it though. I'm still feeling good but I get crazy moody bouts of ANGER. I have really no reason to be angry but everything is just enraging!! It's very frustrating. I hope it goes away soon but I would recommend quitting the meds as SLOWLY as possible to fight the mood swings. I had no real side affects on this medication except for craving for sweets and a harder time to orgasm (but when I did it was awesome lol). ",10/14/2014 12:18:03 AM,citalopram oral,5.0,4.0,4.0
"FIRST, the best way to take this medication is at bedtime, as it really does make a person tired in the morning (though I know not everyone is the same). I have to agree with many on the fact that it is VERY hard to try to get off of this medication. Unfortunately, for me I am better staying on ot. I use it because I just feel out of control when I am not taking it and a cry easily when not on it. I just pray that anyone searching for help gets the help that they need. It has helped me but, with any medication there are most always side effects. Blessings to all!",10/2/2014 3:47:00 PM,citalopram oral,3.0,3.0,3.0
I have been taking this medication for sometime but I was have profuse sweating and dry mouth and since I take other medications with same side effects I was unsure if it was this. We increased the dosage and the symptoms became worse. So I am going to titrate. ,9/30/2014 7:10:21 PM,citalopram oral,1.0,5.0,1.0
"I honestly had no side effects with citalopram but from my experience I felt 'wrong'.  I wasn't myself.  I was just an emotionless zombie going through the motions.  With my depression my mood varies, on a scale -10 to 10 (10 being best), -10 to 3 and with the citalopram I just stayed around a -4.  It made me feel wrong and overall made my mood steady but negative.  ",9/24/2014 8:50:22 PM,citalopram oral,2.0,1.0,1.0
"I hit rock bottom until I started taking this pill.  It did me wonders.  I battled anxiety and depression for years and I didn't even realize it until I was so down and upset I knew I needed help.  After taking citalopram/celexa for a while, I noticed how much happier I was and even more productive.  ",9/24/2014 10:34:37 AM,citalopram oral,5.0,5.0,5.0
I just started taking citalopram 20mg for depression. So far only side affect is severe nausea but seems to be tapering off but mood seems to be getting happier. I will come back in a few weeks with new review.,9/11/2014 5:54:05 PM,citalopram oral,4.0,3.0,4.0
This medication has helped me resolve my depression and some anxiety issues,8/31/2014 6:29:59 PM,citalopram oral,5.0,5.0,5.0
I am having dry mouth and now eye twitching which is annoying.. I will ask my doc to change meds..,8/22/2014 10:10:20 PM,citalopram oral,5.0,5.0,5.0
"AS a Australian Vietnam Vet I went for many  years suffering with P.T.S.D, making life hell for all those that I loved. Doctor put me onto citalopram a number of years ago and it changed my life completely. Calm, cool,and collected,as my wife puts it. No more aggression and able to assess before acting .   ",8/20/2014 8:09:17 AM,citalopram oral,4.0,5.0,5.0
"Starting taking this drug after heart bypass surgery in 2012. I was diagnosed with depression after the surgery, apparently it is rather common especially in men after a major event such as surgery. It took a while, but is has been helping. Hopefully I wont have to continue taking it for the rest of my life",8/12/2014 11:03:57 AM,citalopram oral,5.0,5.0,4.0
"When I first started taking citalopram, I had dry mouth and night sweats, but those side effects weren't too bad. Within about 2weeks I noticed that I was smiling more-even when I wasn't necessarily happy. Citalopram has most definitely increased my quality of life. I may not always be happy, but I enjoy life more. I get out more and actually participate in life. I was on 40mg for a few years and have now been on 20mg for ~a month bc I'm trying to titrate down as I may be trying to conceive in a few months. I have had some withdrawal symptoms such as ""brain zaps"" which sounds scarier than they really are. I notice my sadness and irritability more, but I'm pretty laser-focused on trying to get pregnant soon. So I'm toughing it out. I am a bit frightened to not take it at all, but I'll be sure to talk about this with my M.D.",8/7/2014 5:32:34 PM,citalopram oral,5.0,5.0,4.0
"No improvement after 3 months @ 40 mg.  TERRIBLE dry mouth, especially at night. I waken throughout night,'cuz my mouth feels like it's full of toxic glue, and I can't get it hydrated no matter what I try.  I'm titrating off starting today!",7/30/2014 9:52:25 PM,citalopram oral,1.0,5.0,1.0
"Prescribed for some mild to moderate anxiety. First dose (10mg) put me in the ER at 2am. I am sensitive to almost all medication but these side effects were similar to a drug. Numbness, tingling, unable to focus, couldn't sleep.. etc. Needles to say I won't take it again. However a friend of mine says it's helping him.",7/30/2014 9:58:15 AM,citalopram oral,1.0,4.0,1.0
"Job related stress was causing me to have anxiety attacks, constant emotional swings and sleeplessness. Citalopram decreased these symptoms and allowed me to function normally. It has improved my patience and relationships to my loved ones.",7/28/2014 5:04:32 AM,citalopram oral,5.0,5.0,5.0
"I don't cry as much, but im not sleeping & can't stop yawning, still feel anxious. I take 20mg & been on them for a little over a month, I am seriously thinking of stopping them. My situation has changed so that stress has gone, I also feel tight in my jaws does anyone suffer the same on them?",7/25/2014 1:29:34 AM,citalopram oral,2.0,5.0,2.0
"sleep better, no anxiety, can forcus, feeling of well being",7/15/2014 4:14:29 PM,citalopram oral,5.0,5.0,5.0
I have been having panic attacks for about 2 months now. (Stress related)I had only started this med. 3 days ago. my first day I had a bad panic attach which made me feel like my heart was racing I got dizzy weak in the knees and wobbley. Ive just now been ready up on this med and wanted to share this with you. I will continue to take it in hopes I get some relief?,7/11/2014 9:18:40 PM,citalopram oral,3.0,5.0,2.0
