comment,rating
"Starting taking this drug after heart bypass surgery in 2012. I was diagnosed with depression after the surgery, apparently it is rather common especially in men after a major event such as surgery. It took a while, but is has been helping. Hopefully I wont have to continue taking it for the rest of my life",4.666666666666667
"When I first started taking citalopram, I had dry mouth and night sweats, but those side effects weren't too bad. Within about 2weeks I noticed that I was smiling more-even when I wasn't necessarily happy. Citalopram has most definitely increased my quality of life. I may not always be happy, but I enjoy life more. I get out more and actually participate in life. I was on 40mg for a few years and have now been on 20mg for ~a month bc I'm trying to titrate down as I may be trying to conceive in a few months. I have had some withdrawal symptoms such as ""brain zaps"" which sounds scarier than they really are. I notice my sadness and irritability more, but I'm pretty laser-focused on trying to get pregnant soon. So I'm toughing it out. I am a bit frightened to not take it at all, but I'll be sure to talk about this with my M.D.",4.666666666666667
"No improvement after 3 months @ 40 mg.  TERRIBLE dry mouth, especially at night. I waken throughout night,'cuz my mouth feels like it's full of toxic glue, and I can't get it hydrated no matter what I try.  I'm titrating off starting today!",2.3333333333333335
"involuntary quivering, loss of focus.",3.0
"I was on this for two years for depression/anxiety.  At first it worked, but I had to keep increasing my dose and finally it just quit working completely.  Not only was I JUST as depressed as before, but I also gained 25 pounds and can't lose any more than 5 pounds after having been off if for four months.  I do believe it has done something to my metabolism and really hope I can get my body to return to normal.  If I could go back in time, I would NEVER have gotten on this horrible drug.  I will never take an antidepressant again. ",2.0
Depression has greatly increased,2.3333333333333335
"I have been on this med for over 10 yrs and don't remember specific side effects early on other than dry mouth.  I notice that I have completely lost interest in sex (but am also menopausal, so which caused that?  idk)  I have had horrible weight gain over the years and like so many others have tried to go off the medication and cannot.  I can tell (as my husband can) if I forgot to take it or if I am even LATE taking it on a particular day.  A couple of years ago my doc added bupropion as the citalopram did not seem to be as effective anymore.  I do feel though, that my quality of life has been much improved with this med.  ",4.333333333333333
"Adjusting to 10mg of Cipralex was odd, it disoriented me. I was in a daze for a week. However, after three weeks, my mood was substantially lifted.   I highly recommend this anti-depressant for depression sufferers.   I have never felt so normal in such a long time. But I developed a weird sleep problem. I'd sleep 14 hours a night. I couldn't get out of bed otherwise. I don't know if it's my condition or if it was Cipralex.   I could only fully and actively function for a good 2-3 hours each day. Other times, I was sleepy and tired. Just constantly fatigued.   I talked to my doctor about trying Prozac and he thought it was a good experiment. But I'm very hesitant after seeing the plentiful terrible reviews on WebMD of Prozac.   Maybe I should stick with this sleeping problem than risk all of those seemingly commonly experienced side effects.",4.333333333333333
dealing with chronic pain daily and went into a deep depression. This product helped me to recover so that I could work at least part time.,4.333333333333333
for some reason this medacation makes me have a iner outer body feeling like i have been on a hard hung over drunk.,2.0
This drug had a significant positive impact on my life.  There were many minor side affects at first but the went away for the most part.,4.666666666666667
"Been on citalopram first 20mg then up to 40mg then 60mg hen recalled the maximum dosage so I've been on 40mg a day since. I can honestly say it's changed my life for the better. However, have you missed a day or so's dosage by mistake?! Omg dreadful feeling!!! And apparently it's not addictive!!! Yeah ok then :/ ",4.666666666666667
"I've been told, by doctors through the years, that I've been depressed all my life and don't know it.  Was prescribed Wellbutrin but it seems I'm one of those rarer side effects.  Now, I have been prescribed 10mg of this at bedtime.  I also have low testosterone, adult ADD they say and high blood pressure.  I. Wondering if anyone has had similar prognosis and what they have done that worked?  I exercise regularly and eat decent.  [email protected]",1.0
