comment,rating
"It took 3 months for Actemra subcutaneous to provde full effect. At that point, symptoms were relieved and have not returned. Have taken this medication alone for 16 weeks. No injection site pain or brusing and no side effects. Have tried Methatrexate, Plaquanil, Humira and Enbrel but had to discontinue all of them due to serious side effects.   Difficult for me to administer alone since it is a needle with plunger. I need help to do this because it takes two hands. Hope the manufacturer will package it as a SureClick very soon. Many more people would be able to use it.",5
"The first few doses seemed to have little effect, but by the fourth or fifth, I noticed a nice improvement. No injection sight reactions or headache. Regular lab work required to check cholesterol levels. Swelling greatly reduced, but still experiencing mild to moderate pain. No flares since starting.",4
It makes me feel timid and scared. it is helping my knees.I have fatique and minor headaches and a rash. something a little better I hope will come along.  There is no money in cures. ,4
"Have only had 3 of the subq injections, 1 every 2 weeks. Do not think I will continue. Have had severe flares after each injection, along with fatigue. Had fewer flares before starting this med.",1
I am a 65 year old female and have been on Actemra by IV for 2years now. This drug has worked awesome for me. Can now lift my arms and walk longer with no pain. Beside mild side effects like sinus pain and mild skin itching Actemra has changed my quality of life for the better. Hope it last longer then the Humira and Simponi ,5
i have an artery inflammatory disease that steroids failed to reduce the inflamation,5
"WOW, I've been on many biologics and after the first infusion I'm almost back to my normal self!  I hope my body does not build immunity to this one as it has the others.  It feels so awesome to feel normal!  I had no reaction to the infusion.  I've had RA since 2014.  My case is considered severe.  I've been on Steroids for over a year and able to get off them with the Acterma.  I've have tried Methotrexate injections, after a year had to stop those and they were not affective for me.  I've tried Orencia, Embrel, Humira and Plaquenil. ",5
I have been on every possible drug and drug combination prior to starting Actemra with no success.  Since starting on Actemra I have been pain/Inflammation free and in remission.  My doctor has also pushed back my infusions from every 4 weeks to every 6 weeks since it seems to be the drug that finally worked for me ,5
"OK, not to brag but I've been on Actemra for 4 1/2 years and for the last 2 years, I've been in total remission!  Now I pump weights 5 days a week and we walk or hike nearly every day of the week, which (I'm sure) helps.  After several years of unsuccessful solutions, Actemra works for me! ",5
"Failed Enbrel and methotrexate, had Vectra test revealing high RA disease activity with Interleukin 6 as culprit.  Started Actemra self injections.  After 6th injection, I had improvement in joint pain, stiffness and fatigue.  It continues to work.  Only side effect has been an occasional mild headache.  The Vectra test and Actemra have changed my life!",5
"I have been on Actemra IV for five months. There hasn't been any reduction in my RA symptoms. I have experienced increased joint pain after my infusion and Actemra has caused my blood pressure to skyrocket resulting in two BP med changes, so I will be changing to Rituxamab. ",1
I was initially on the clinical trial for three years.  I am now in my sixth year.  It has been a miracle for me.  I was unable to raise my arms for years.  Now I can with relative ease.  ,5
"Actemra is almost a life saver for me. It has given me my life back. Before Actemra I didn't have any energy to do anything after working my job all day. I needed 12 to 14 hours of sleep just to feel rested, which can't be done and work full time. All I did was go home after work, eat supper and go to bed. On my days off at best I would accomplish one minor activity before having to stop for the day. And the RA was spreading from my fingers, hands and wrists to my toes. Always in some amount of pain even taking a 24 hour prescription pain med.  Now I've been using Actemra for a few months and I have energy again. A lot of times I feel nearly normal. It's wonderful to have my life back.  I am grateful for Actemra.",5
I was diagnosed with RA 40 years ago so have tried a lot of different treatments.  This is my second biologic.  This drug has been completely ineffective and I am experiencing a level of inflammation that I haven't seen in at least 20 years.  I had a terrible time getting the drug from the drug company and it wasn't until my rheumatologist stepped in that I was able to fill the prescription.  I am counting the days until my next appointment so that I can get off this terrible drug.  ,1
"This has been life changing for me. Nothing else has worked. Combinations, methotrexate none of them helped. Have some hair loss but methotrexate started this. Weight gain possibly but I feel that the Actemra makes you feel so much better that you start feeling normal again and blow the diet out the window!So whether y weight gain can be attributed to it I don't think so as I now eat more than before it. Still some niggly aches but nothing like what I had before. Have removed myself from prednisolone and the actemra is all I have now. So very successful. I pray it keeps working.",5
"My daughter has had arthritis since 4th grade, and nothing but cortisone shots ever helped her UNTIL ACTEMRA. She has been getting infusion for almost a year now. All her joints are affected with arthritis, except her back. She was told she would have to have a hip replacement by the time she was 18. She is 17, and doing AMAZING because of ACTEMRA!! Her doctor just smiles at each visit and shakes his head in amazement, because it is like she is healed! Her range of motion is normal now! We are so happy:) Finally, after all these years, they found what works for her. We tried methotrexate, Enbrel, Orencia, but nothing helped. Enbrel actually made her worse. It locked her joints up. I hope more people will get to try ACTEMRA and it will help them, also. A nurse that was involved in a pediatric study of ACTEMRA told me that when it works, it works VERY WELL, and she has seen the miracle of children in wheelchairs able to walk:) I believe it!",5
I have my stiffness/pain gone and range of motion  back. feel fuctioning again. I am currently needing a dose (3 weeks late - going on 4),5
"When biologics failed me after only 2 years I chose Actemra because of the few side effects.  Other than a headache and sometimes fatigue the day of the infusion and my cholesterol slowly creeping up I have virtually no side effects and my RA is pretty well controlled.  It definitely compromises your immune system so you must be vigilant, but compared to previous drugs' side effects and looking at my quality of life, I'm very pleased.",5
"After serveral years on many different biologic's with no success. Actemra has been AWESOME! Other than usual morning stiffness, most symptoms has been resolved.",5
"Started Actemra after spending 2 years cycling through most biologic meds commonly prescribed for RA- Humira, Simponi, Enbrel, Orencia- which had no effect. 6 months in with Actemra infusion and I am feeling very good. I cannot recommend this enough for those suffering with systemic on-set juvenile rheumatoid arthritis. This has completely taken away my rash and fevers, and helped tremendously with the pain and swelling. Of course still have bad days, but overall am very pleased with Actemra. ",5
"Cannot say enough good things about this drug. Where nothing else worked (embril, humera, metho, symponi, and of course prednisone) actemra has truly put things back to normal. Going in for the infusions is a pain, but completely worth it. I went from barely being able to walk at 29yrs to being very active at 31 and even going for multi mile runs! No side effects as far as I can tell, maybe sleeping extra soundly the day of the infusion. ",5
"Started with JRA at 2yrs old about 31 years ago. Today I am still fighting the activity and pain from destroyed joints. Back when I was younger they would give aspirin and gold, and today I am paying for it. Every time a new drug would come out I would go on it. It resulted in either bad side effects or lack of effectiveness. Taking prednisone most of my life has killed my body, so I'm forced to be on a lower dose. I can no longer walk and am at the mercy of my loved ones. So when you add everything up, along with other diseases I've picked up over the years, it is hard to judge what is doing what. The only thing I can go by is how I feel! So, on actemra, at the beginning I felt some relief in my neck and ankles. I was hoping that it just needed more time to accumulate in my body. I was wrong. It didn't get any better. In fact, I never needed a calender to tell me my next infusion date because my body did it for me. Around a week before infusion time I would get so achy, and could not get out of bed. The only great thing about Actemra was the lack of severe side effects. I mean of course, their are always side effects, it's part of life when on RA drugs! However, the only side effect I had was being extremely tired after the infusion. So, in result, I totally wrote too much that no one will ever read! I just wanted you to understand that this is my story with Actemra. My story, my body! Just because it didn't work for me does not mean the same for you. We all have taken different paths with our disease... Maybe this path is right for you! ",2
"Countless failed medications and unbearable side effects .Going off and on  for surgery s did not help .Bed ridden ,depressed, no quality of life .Six yrs of  this .Its hard to be a nice person   the old me was gone . Then  came my miracle Actemra Iv. No one likes  having to go every month for Iv but it sure has changed my life I can be grandma again.I can dress myself put make up on,comb my hair, cook,clean  although at times I overdo the walking in malls thing Im so happy most of all  my surgeries can be worked around the  date so I do not have to  go off  them .The nurse @ staff where I go for the Iv  are very professional  I feel very safe. A new lease on life  here,s hoping for the best. ",5
"Diagnosed with RA recently but have been actually living with it for many many years and untreated until my hands were starting to cramp and become disfigured I had to do something and also the fatigue was making me a zombie daily and the pain was overwhelming.  Methotraxate made me more ill and coma like, Sulfasalize didn't help at all and gave me rashes, but Actemra has been making me like new after my first dose.  I was nervous about taking it because I suffer from alot of severe sinus infections due to my immune system attacking me instead of the real bacteria or viruses but my infections are completely gone now and I am also on Bactrim DS as a co-drug. I have energy like I was 15 and my feet and ankles and hips and neck and elbows and hands and back all affected are so much better and I actually can climb stairs without pain!  I hope I can keep from getting any of the other side effects such as high liver enyzemes as I imagine I would be on this drug for awhile .... :)",5
"Updating my post of 11/25/13. Did more research and discovered that the unacceptable side effects are not caused by the Arava. They are from the Actemra. 4 weeks from first injection I have severe blistering boils on several places that are taking 3X as long to heal as regular boils. I also have a rash on my face now. These are completely unacceptable side effects for a drug that has done nothing for the pain. I do realize that many RA drugs take ~12 weeks for full effect, but practically zero effect plus the intense pain and the awful side effects = not for me. I will be petitioning my doctor to put me back on Enbrel. It wasn't the best, but it helped enough to get me through the day with pain I could handle.",1
"first dose 3 weeks ago because Enbrel, Humira, Remicade, Orencia, Xeljanz no longer work. Took methylprednisolone for 3 straight months, which helped somewhat. Was on methotrexate, but it caused cluster migraines and vomiting. Tried Arava but it caused severe blistering boils. Tossed it 2 weeks ago but still getting that side effect. Not Happy. The Actemra decreased my sed rate to single digits--first time in 14 years. But the pain is so severe I'm now on Loritabs just to get out of bed in the morning. It's like the only effect of Actemra is the sed rate. I'm gong to try to put up with it for at least 2 more doses, but I cannot tolerate this level of constant pain. I'll make my doctor switch me back to Enbrel, because with that the pain and swelling were somewhat tolerable with the methyl and now that I have the Loritabs. Will update this review or add a new one if things change.",1
Has anyone had a problem with hair loss?,4
"Going on 9 months of using Actemra for RA.. It has worked extremely well for me! No joint swelling and back to normal walking (daily).  Prior to Actemra, I spent a year with Enbrel/ Methotrexate, which was 50% effective, but gave me side effects (nasty rash and bowel problems).  With Actemra I feel like I'm in total remission! ",5
"Was taking this for over 4 yrs (2 of which was case study) and after too many bad side affects from too many oral meds, was amazed by the GREAT results of Actemra.  Had to stop over a year ago: gastro-intestinal problem....had 2' of intestine removed after it burst.  Under side effects, this is a possibility when taken w/Methotrexate...""may aggravate diverticula, and penetrate stomach wall or intestine"", which it did, apparently  Had terrible abdominal pains Mar - Oct till I had surgery.  Since starting drug, have had two fractured vertebrae, and am experiencing some atrophy in my feet.  I am afraid to take anything now!  I was fatigued, was 'cold' even in 70 degree weather, not to mention raised colesterol, liver count, and immune system compromised.  If it works for you, great, but I can't begin to afford what it costs after insurance.  I'm still paying for 2011 services!!!",5
"I started this drug in may of 2013. I have had to joint pain or inflammation. I was in Constance pain . I have used every thing. Remicade, humaria two different injection type drugs . I have had rheumatoid arthritis for 20 years.",5
Doesn't last the month  .  First week and half works great. But doesn't stop more damage joints,3
Doesn't seem to be helping. Liver enzymes high. Dr. canceled last infusion. Now in limbo.,2
try many other meds that didn't help me.this new meds actemra has really help.,4
I have been on this drug for 17 mths. I have infusions every 21 days and it has giving me my life back. I no longer have to take metotrexate or predisone. I have a little bit of stiffness and pain a couple of days before treatment and my skin on my arms is thinning but other than that no problems,5
"I have had RA for 28 years now and have been on most of the drugs asvailable.  Nothing lasted very long until I entered a trial for Actemra about four years ago.  I have been on it ever since and it has been great.  I do notice that I am stiff the week I am due for the I/V and would probably benefit from more frequent infusions, although I don't think that is possible on our health scheme. ",5
"Ihave been an actemra for 6 years, It has helped more than any drug. I don't take anything else for RA.",5
"Getting my 6th infusion tomorrow - so far no results. In last 2 months had 2 major flares. On Prednisone with sliding doses since dx 6 1/2 yrs ago. Had 3 doses of Rituxin, then Orencia, which was great, until it stopped working last year. Can' take DMARDS, had reactions to all of them! Same with mthx. I'm getting very depressed - any suggestions??",1
well after my seventh infusion this also stopped working for me. only one good week. bummer going to start the new JAK inhibitor soon. fingers crossed this works.    ,1
"I have had RA for 13 years, been on all the other drugs.  Being an RN am very cautious about new meds, but have had cancer 4 times as well so, 2 and a half years ago went on Actemra (along with MTX and Leflunomide...no NSAIDS as I required 4 units of blood from a clotting disorder related to them after using for all those years!)...this drug is a miracle.  I have had no side effects and my Rheumatologist prescribes it to me every 21 days so I don't have that week of hell the 7 days before my next infusion.  THIS drug saved my life!",5
"I was introduced to Actemra by my Rheumatologist who put me in a 5-year study.  Now, 2 years after my participation in the study came to an end, I get monthly infusions at my rheumatologist's office.  This drug has been amazing for me -- I rarely need even Tylenol for pain.   The last week prior to my next infusion I get a little stiff and sore, but nothing unmanageble.  I had large nodules on both elbows -- which totally disappared after 7 or 8 infusions!",5
I have had seven treatments so far. It has worked very well. No side effects. ,5
"I've had infusions for RA for years when my doctor suggested Actemra. It's the only time I've felt a drug for RA while it was going into my body. Right before finishing, I got a bad headache. I had severe headaches daily for the next month. Towards the end of the month, I was watching a movie when my blood pressure went through the roof and one arm started flailing uncontrollably. I went to the ER until my BP went down and my arm settled-a visit that cost me $2,500 out of pocket. I've had uncontrollable shaking in that same arm and my R foot three times since then, the most recent being last week. I wouldn't take the drug again if I was paid to do it!",1
"I have been on actemra for 4 months now with what seems like litle benefit but last week before my treatment I am in terrible pain and lots of swelling in my arms and hands.  So it may be doing something but not enough.  Ive been on remicade, orencia and humira and with and without MTX which provided either little relief or develoed severe allergic reactions.",3
I have been on this for only 3 months so im waiting for results.,2
"I have just had my 25th infusion and am delighted with the results, because I have my life back! I do notice that the week before the infusion is due I am very well aware that the effectiveness has worn off. I have had a reduced dosage the last two infusions due to a slightly raised liver function test. I am hopeful of having a full dosage again next time. ",5
"My 4.5 year old daughter has been receiving Actemra infusions since February 15, 2012.  She has needed a very large dose (30 mg/kg) to bring her systemic Juvenile Idiopathic Arthritis under control and thus far, while the Actemra is helping her systemic symptoms, her joints remain very affected by arthritis. She has had injections of cortisone into her joints twice in an attempt to help. The only thing that truly helps her arthritis is high-dose prednisolone, which is not something we can safely keep her on.    Her rheumatologist told me this past Wednesday (Aug 22, 2012) that there are some people who get relief of systemic symptoms but no real relief of arthritis while on Actemra. Unfortunately, my daughter falls into that category.  Her doctor & I will be discussing long-term treatment options next week. I don't know if she will continue with Actemra or not.  Her arthritis is extremely debilitating ~ she does not use her hands at all, cannot walk and experiences pain every day.  Actemra has helped make it possible to get her off of prednisolone without having a major flare-up, but it is not actually helping with her arthritis (just the systemic symptoms).",3
I am 37 years old i have been on this medication for a year now its working for me I was scared at first i had GI problems the first 3 infusions but that has went away if I miss one infusion I feel all the pain worse than prior to using this med so if your on tis medication dont stop you will have terrible pain and stiffness and at that i was only a week late getting my infusion due to high blood pressure I also take 5mg of prednisone daily with this infusion my bones feel great and im back at work part time te only problem i have with this is spikeing blood pressure but i now take norvasc 5mg daily for that and my blood pressure is back to normal i get alot of heart burn but i take tums for that dont give up on this medication it really does help it has helped me and ive had RA since I was 16 years old The Gi pain does go away ,5
"Been taking about one year, have no side effects other than if I get a cold it seems to take longer to rid, I believe it has helped quite a bit with mobility and swelling of joints. It does not seem to help me have any pain relief so I still take morphine for pain. I have found it works better with prednisone however other patients say it does relieve pain for them. It is a pain to have to go every month and get the injection but have tried all the other injectibles and this seems to work better so will continue until something better comes along. For those of you who have said no insurance, contact the maker they have a program to furnish free in most cases. I was getting it free until I got on medicare. Now it is 4800.00 a month, no wonder the government is broke. :)",3
"My disease (GCA) and the prednisone it is treated with are slowly eating away at me. I've been on 100-45 mgs. pred for 20 months while using methotrexate and Enbrel in an effort to use less pred. In the last 7 months I have relapsed every time I have tried to taper. GCA will kill me quick and prednisone will kill me slow. Already got diabetes, cataracts, glaucoma, high blood pressure, high cholesterol, fatty liver disease, ect. from it. Actemra has to work!",5
so far it has worked for the pain.  time will tell,4
I have only had 1 infusion 2 weeks ago.  I had quite a bit of GI problems for the first couple days.  I also had a severe headache that lasted about 4 days.  I need feed back/replies on emotional outburst.  I have cried more than not since my infusion and need to know if anyone else has expeirenced this or if it is caused from something else.,2
"I have been takeing it about 4 monyhs ,now i have no insurencss ,what can i do .",5
i have had trouble with upset stomach and feeling sick most of time.,4
Nine year old daughter no symptoms. Some loss of appetite. Love thus drug. Anxious for it to be in injection format. Next year!,5
"First drug to work for me and have been on it for a year now. But, the side effects are mounting and I feel as though I  may have to stop it. Have high blood pressure, high cholesterol, low blood count, low potassium, and my skin is so thin that it just peels off. Breaks my heart because RA is better. ",5
"I have severe RA and was diagnosed over 8 years ago. Tried everything from prednisone to plaque nil to methotrexate. Participated in a clinical trial for this drug and by the end of year one I literally forgot I had RA. All morning stiffness disappeared, and on occasion minor aches appeared in my hands and a shoulder now and then. This drug Was amazing. I was extended on the drug and did a lasting 5 year study. Never had one side effect. All organs are fine. But sadly now, my trial ended in June 2011 and slowly I have started feeling pain again...I have no insurance so I'm not sure what to do now. ",5
I think this Biological drug is working.,3
"I've been on Actemra for 7 months.  Had several bouts of bronchitis the first few months, but I have notice a big difference in stiffness and I have more energy.  Like so many others, I know I need an infusion about a week before.  I am taking this with oral mtx.",3
"I have been on Actemra now for two months.  This month it wore off a week or two early.  I am going to go to the double dose 8mg/kg now.  No side effects at all and feel much better right away.  Hoping the increased dose will make it last the full four weeks.  Was on Remicade, then Orencia before, both of those wore off and quit working at all",4
It has decrease the pain on my right knee.I can now go up and down the stairs without help from anybody.I can now drive the car again.,4
I've been a RA patient for about 6 years and have tried many injectables and infusion type meds. When first started on Actemra I was pain free for about two months BUT than it just quit working and I've not found relief since. Still looking still wondering when I'll have my life back.,4
I was in the test program got this drug and have only had good results. I  am not taking methotrexate with it an am tapering off of naproxin unless there is constant pain.,5
"I had been on Enbrel for years with great success but alas, it wore off and I was in terrible shape.  After a tremendous battle with my insurance, my doctor got me on Actemra.  First two doses - nothing.  Then he doubled my dose.  It began to show some signs of promise.  Now after five infusions at the higher dose I can say it really is working.    I had a huge nodule in my left wrist that is gone and swellings all over are down.  I could hardly get in and out of a chair my knees were so bad and now I'm doing yoga again.  My bicept tendinitis is greatly reduced, too.  My only complaint is a tremendous headache the day after infusion, but it's a small price to pay for 4 weeks of feeling almost normal.  I've reduced Prednisone and Methotrexate, too.  I noticed some hair loss at first but it is resolving now.  No cholesterol problems for me, no rashes, etc.  Just the headache and that goes away in a day or two.  Other than that, having to take time away from work for the infusion is a PAIN.  I've read on the web that they're working on self inject Actemra and that would be awesome!",5
"Actemra has been so good to me! I have been on it for 8 months now and have felt the best i have in a long time. I am also on methotrexate injections, they seem to work really well together. I have tried so many medicines with no success so i am very excited about this. I can tell the week before i need a treatment, but my pain is tolerable. LOVE IT!",5
"Hello, I have severe RA and was hospitalized for a month and could not walk at all and barely use my hands. My dr started me on 8mg/kg of Actemra. I have finished 5 infusions now. It was really after the 3rd infusion that I noticed a big difference.  But still I was not happy and wanted better so my Dr put me back on MTX, a drug that has not worked out for me in the past due to nausea, but this time injections.  And we increased the Actemra to 9mg/kg... yes i know outside the recmnd range.  I have had minimal side effects. Initially my cholestrol went up bit stabilized after the 3rd infusion.  I have soreness and headache for about a day but then i'm good. However I do feel I need it again a week b4 i'm due so my dr has decided to give it to me every 3.5 weeks instead of 4 weeks.  I no longer need any painkillers and can do most things quite comfortably.  I hope it will only get better from here. Please keep in mind like all drugs the body needs time to adjust and side effects and set backs are to be expected so don't be discouraged. A positive attitude will go along way.",4
"I been on this for one month.  Day after receiving treatment, my blood pressure went up, severe headaches, and numbness in fingers. Cancelled all appointments for further infusions of actemra.",3
"12 infusions. The abd distress is worsening. Week after infusion, there is nausea, headache, extreme fatigue. Gastritis and excess acidity, lower GI pain, variable IBS symptoms are tough. Preceeded by Enbrel and Humira. I take mtrx subq weekly but no nsaids. Tough commitment. Sed rate has improved but quality of life still to be determined. I wish there was another choice.",3
"I have been on this drug for the past 5 months after being on Remicade for last 8 years.  I saw a great improvement with energy & flexibility after month 2 but that seems to be dissipating now.  I have had SEVERE hair loss since starting this drug, as well.",4
I have taken it for 5 months and feel like I am much worse than when I started,1
Just had my first dose Yesterday..I pray this works for me.,3
"I was getting the drug as part of the clinical trial. 8mg dose. I felt really good for the first three months; energetic and pain free. After that, I started to struggle with fatigue and, six months later, I was not any better. It also gave me substantially higher Iron levels in my blood. I am a 40 y/o woman that had a hysterectomy one year prior to starting the drug. I ended up stopping the drug when my iron levels were approaching a toxic level, and my RA was not under reasonable control. ",3
I tend to be tired for a few days after treatment.  I have noticed hair loss and I am concerned that it might be from the drug. Wonder if any others havehad this problem.,4
"My first infusion was in November and it was great!  I had been taking remicade but it just quit working after 4 yrs and then I started this! I am really tired first couple of days, then I finally begin to feel pain free and a person again! ",5
"It seems to be working so far, but to early to tell as the other medications started out working and then stopped after several months.  Do have some headaches and tiredness.",4
"Have had 6 treatments over the last 6 months. I have failed to see any major changes in my condition, however, the week before it's due I know it's due. That being said, it must be working to some degree. All in all, it's not a miracle drug but then again, there doesn't seem to be anything better on the market yet. ",2
I have been getting Actemra IV for about 4 years as part of a research study and it has helped me tremendously. I just had my first setback with high Liver count numbers so have to skip my dose this month.,5
"I have been having severe itching on my legs and upper body.  Have severe sores on my hands, elbow and forearm, Also sores on my buttock. I is now32 days since my last infusion, I came down/with pmeumonia.(Recovering) but still have the itching problem.  I WILL NOT take this again. What can I do to rid myself of the ITCHING?",1
